feature,feature_label,target,target_label,n,coef,coef_pvalue,r2,adj_r2
carbonization_time_h,Carbonization time,ice,ICE,524,-0.0023753111302688536,0.34522862860555326,0.7405879669180879,0.7370688114305426
carbonization_time_h,Carbonization time,plateau_capacity_mAh_g,Plateau capacity,524,-2.9041738956548544,0.029239776353311386,0.7451671756852611,0.741710141246883
heating_rate_C_min,Heating rate,ice,ICE,365,-0.0018976008821889757,0.3661624625650206,0.7157591781358699,0.7101858286875535
heating_rate_C_min,Heating rate,plateau_capacity_mAh_g,Plateau capacity,365,-0.3919084267777011,0.6898257492991037,0.7728342386974256,0.7683800080836497
pore_volume_cm3_g,Pore volume,ice,ICE,302,-0.09888435074694735,6.38649596433917e-05,0.6972015878915354,0.689992101888953
pore_volume_cm3_g,Pore volume,plateau_capacity_mAh_g,Plateau capacity,302,-11.100041121867852,0.3074964303100962,0.7762702692557996,0.7709433709047472
lc_nm,Lc,ice,ICE,286,0.006010067131184558,0.041190360452409924,0.5837877808931813,0.5733076171027218
lc_nm,Lc,plateau_capacity_mAh_g,Plateau capacity,286,1.5293695512709218,0.3341571099737881,0.6719682038719668,0.6637084104442825
la_nm,La,ice,ICE,256,-0.0005573381825121956,0.8268690500638302,0.4895939705541358,0.4751873487552606
la_nm,La,plateau_capacity_mAh_g,Plateau capacity,256,1.5505355934555556,0.25145918709459947,0.6398583379081237,0.6296930490587562
