,carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,carbonization_time_h,heating_rate_C_min,pore_volume_cm3_g,lc_nm,la_nm,ice,plateau_capacity_mAh_g,reversible_capacity_mAh_g
carbonization_temperature_C,1.0,-0.21812698536079841,0.05172034933756483,-0.5510468751917701,0.017519110197959705,-0.33110655163221875,-0.13780358966981746,-0.07320513335032156,-0.6272718864060146,0.14922688689408672,0.16022341615417707,0.7795928516363935,0.820680159255398,0.25601565294288925
d002_nm,-0.21812698536079841,1.0,0.18204926597454016,0.14933055303063855,-0.018429701736896408,0.07982990348957315,0.047983886137974226,-0.008980922837386416,0.13491682575654604,-0.13140045301876216,0.005787969049062653,-0.09558218870958307,-0.044099336585405796,0.0928585643073357
id_ig,0.05172034933756483,0.18204926597454016,1.0,-0.058708980667048834,-0.029270238848479124,-0.12373341763635097,-0.00185000449341969,0.05775571868068567,-0.079560980663301,-0.02999066206503953,0.04840502246995131,0.13864324877351455,0.13653974383712894,-0.0474789944459358
ssa_m2_g,-0.5510468751917701,0.14933055303063855,-0.058708980667048834,1.0,0.0507838194422963,0.29654076308608457,0.05970077179194353,0.054374199890544136,0.8859688582065802,-0.08435674252058659,-0.21923789104594868,-0.6836086929694647,-0.6247816345029005,-0.1975504284033616
electrolyte_type,0.017519110197959705,-0.018429701736896408,-0.029270238848479124,0.0507838194422963,1.0,0.1094138764239998,0.11021057755738113,0.012358164181950397,-0.09180477632184834,-0.1641349420705075,-0.3008459514899684,0.0047282008490655255,-0.07304589884263571,-0.12455522167111473
current_density_mA_g,-0.33110655163221875,0.07982990348957315,-0.12373341763635097,0.29654076308608457,0.1094138764239998,1.0,-0.02933874261750504,0.18038711509651512,0.32496863291993094,-0.08969205675335921,-0.17856929682086195,-0.41504880388832294,-0.38372022088447494,-0.06453100911789138
carbonization_time_h,-0.13780358966981746,0.047983886137974226,-0.00185000449341969,0.05970077179194353,0.11021057755738113,-0.02933874261750504,1.0,-0.23641996531849047,-0.023628421071512046,0.007087163510345729,-0.4122726194660769,-0.13710747573073792,-0.15244722076350323,-0.0839478625100504
heating_rate_C_min,-0.07320513335032156,-0.008980922837386416,0.05775571868068567,0.054374199890544136,0.012358164181950397,0.18038711509651512,-0.23641996531849047,1.0,-0.026401885069995114,-0.14039702682740696,0.023664031983604134,-0.058098523627549636,-0.0816822071140134,-0.07803991550431576
pore_volume_cm3_g,-0.6272718864060146,0.13491682575654604,-0.079560980663301,0.8859688582065802,-0.09180477632184834,0.32496863291993094,-0.023628421071512046,-0.026401885069995114,1.0,-0.22367773557991644,-0.23238865822785704,-0.6933427652186775,-0.6543601829456029,-0.14097119284632403
lc_nm,0.14922688689408672,-0.13140045301876216,-0.02999066206503953,-0.08435674252058659,-0.1641349420705075,-0.08969205675335921,0.007087163510345729,-0.14039702682740696,-0.22367773557991644,1.0,0.2793962737626825,0.10258694391012353,0.11611566911071508,0.0051015468051351185
la_nm,0.16022341615417707,0.005787969049062653,0.04840502246995131,-0.21923789104594868,-0.3008459514899684,-0.17856929682086195,-0.4122726194660769,0.023664031983604134,-0.23238865822785704,0.2793962737626825,1.0,0.16812456692260883,0.23115435235158396,0.1560186516401053
ice,0.7795928516363935,-0.09558218870958307,0.13864324877351455,-0.6836086929694647,0.0047282008490655255,-0.41504880388832294,-0.13710747573073792,-0.058098523627549636,-0.6933427652186775,0.10258694391012353,0.16812456692260883,1.0,0.8195196049301862,0.31110456369637296
plateau_capacity_mAh_g,0.820680159255398,-0.044099336585405796,0.13653974383712894,-0.6247816345029005,-0.07304589884263571,-0.38372022088447494,-0.15244722076350323,-0.0816822071140134,-0.6543601829456029,0.11611566911071508,0.23115435235158396,0.8195196049301862,1.0,0.48795036405057435
reversible_capacity_mAh_g,0.25601565294288925,0.0928585643073357,-0.0474789944459358,-0.1975504284033616,-0.12455522167111473,-0.06453100911789138,-0.0839478625100504,-0.07803991550431576,-0.14097119284632403,0.0051015468051351185,0.1560186516401053,0.31110456369637296,0.48795036405057435,1.0
